Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
PI_467733_R1	Sanger / Illumina 1.9	101	18271839	23	48	23.252892454651303	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_467733_R2	Sanger / Illumina 1.9	101	18271839	23	48	25.598425396775674	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_467749_R1	Sanger / Illumina 1.9	100	15213049	19	49	74.68212621288113	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_467749_R2	Sanger / Illumina 1.9	100	15213049	19	49	75.32117988426405	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_467758_R2	Sanger / Illumina 1.9	100	16252728	20	49	72.06640166427766	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_467842_R1	Sanger / Illumina 1.9	100	14960542	18	48	73.63704040949844	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_467758_R1	Sanger / Illumina 1.9	100	16252728	20	49	71.40841910723582	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_467842_R2	Sanger / Illumina 1.9	100	14960542	18	49	74.36640531621048	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_467849_R1	Sanger / Illumina 1.9	101	9287976	11	45	69.9862794872415	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_467849_R2	Sanger / Illumina 1.9	101	9287976	11	46	73.27569693837998	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_467851_R2	Sanger / Illumina 1.9	101	17968477	22	47	23.46182522312249	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_467851_R1	Sanger / Illumina 1.9	101	17968477	22	46	20.938668462623244	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_486152_R1	Sanger / Illumina 1.9	101	18662156	23	46	21.916622586669213	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_486152_R2	Sanger / Illumina 1.9	101	18662156	23	47	24.256010291661596	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_506295_R1	Sanger / Illumina 1.9	100	16353412	20	48	73.08730467894779	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_506295_R2	Sanger / Illumina 1.9	100	16353412	20	49	73.82481864604672	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_506302_R1	Sanger / Illumina 1.9	100	15471302	19	49	74.20282791257135	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_506302_R2	Sanger / Illumina 1.9	100	15471302	19	49	74.74032434245757	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_531896_R2	Sanger / Illumina 1.9	100	15775633	19	49	72.74496000024747	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_531896_R1	Sanger / Illumina 1.9	100	15775633	19	48	72.00763365949386	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_531917_R2	Sanger / Illumina 1.9	100	16660876	20	49	72.40417696051479	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_531917_R1	Sanger / Illumina 1.9	100	16660876	20	48	71.85189373165932	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_531986_R1	Sanger / Illumina 1.9	101	8002485	10	46	66.20624568740915	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	FAIL
PI_531986_R2	Sanger / Illumina 1.9	101	8002485	10	46	70.16329832077778	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_564487_R1	Sanger / Illumina 1.9	101	21029898	26	46	20.493510396610603	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_564487_R2	Sanger / Illumina 1.9	101	21029898	26	47	23.05099898075139	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_573611_R1	Sanger / Illumina 1.9	101	20084921	25	47	65.85419076291866	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_573611_R2	Sanger / Illumina 1.9	101	20084921	25	48	65.96164102358856	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_573615_R1	Sanger / Illumina 1.9	126	35715145	56	48	79.82509293265224	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_573615_R2	Sanger / Illumina 1.9	126	35715145	56	48	51.5329110232437	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	FAIL
PI_573878_R1	Sanger / Illumina 1.9	101	17184863	21	47	22.186458005079395	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_573878_R2	Sanger / Illumina 1.9	101	17184863	21	47	24.245044086168747	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_584786_R1	Sanger / Illumina 1.9	126	27821715	43	45	35.896874464984975	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_584786_R2	Sanger / Illumina 1.9	126	27821715	43	46	38.7514135950931	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_584977_R2	Sanger / Illumina 1.9	100	15040777	18	49	74.79987629935913	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_584977_R1	Sanger / Illumina 1.9	100	15040777	18	49	74.28935919635875	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_591928_R1	Sanger / Illumina 1.9	100	15986147	19	48	71.7386275720877	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_591928_R2	Sanger / Illumina 1.9	100	15986147	19	49	72.18703054460643	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_592173_R1	Sanger / Illumina 1.9	100	16736343	20	49	71.41222584201586	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_592173_R2	Sanger / Illumina 1.9	100	16736343	20	49	72.0187330127214	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_592250_R1	Sanger / Illumina 1.9	101	9434121	11	45	69.49705762393866	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	FAIL
PI_592250_R2	Sanger / Illumina 1.9	101	9434121	11	46	73.1872488429957	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_592267_R1	Sanger / Illumina 1.9	101	16630655	20	47	22.73504382455786	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_592267_R2	Sanger / Illumina 1.9	101	16630655	20	47	24.917474099563496	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_599621_R1	Sanger / Illumina 1.9	101	19175207	24	47	64.90818674051249	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_599621_R2	Sanger / Illumina 1.9	101	19175207	24	47	65.07860580409948	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_599625_R1	Sanger / Illumina 1.9	101	16476975	20	46	22.211588487272106	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_599637_R2	Sanger / Illumina 1.9	126	51484140	81	48	29.257572279269965	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	FAIL
PI_599625_R2	Sanger / Illumina 1.9	101	16476975	20	47	24.65684824819744	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_599637_R1	Sanger / Illumina 1.9	126	51484140	81	47	25.600513116677824	PASS	WARN	PASS	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL
PI_599649_R1	Sanger / Illumina 1.9	100	16090604	20	48	74.14996718484066	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_599649_R2	Sanger / Illumina 1.9	100	16090604	20	49	74.8337058478435	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_640095_R1	Sanger / Illumina 1.9	100	15687501	19	48	72.55548896219123	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_640117_R1	Sanger / Illumina 1.9	100	14166987	17	48	74.61991025437257	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_640095_R2	Sanger / Illumina 1.9	100	15687501	19	48	73.12261788899536	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_640117_R2	Sanger / Illumina 1.9	100	14166987	17	49	75.20613361895518	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_640220_R2	Sanger / Illumina 1.9	101	11600910	14	48	66.23633875107824	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_640220_R1	Sanger / Illumina 1.9	101	11600910	14	48	66.20568068294726	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_640226_R1	Sanger / Illumina 1.9	101	9721595	12	46	72.3144423851894	PASS	WARN	PASS	FAIL	FAIL	PASS	PASS	PASS	WARN	PASS	FAIL
PI_640226_R2	Sanger / Illumina 1.9	101	9721595	12	46	74.7885839844629	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_640265_R1	Sanger / Illumina 1.9	101	10000207	12	46	73.04186324061051	PASS	WARN	PASS	FAIL	WARN	PASS	PASS	PASS	WARN	PASS	FAIL
PI_640286_R1	Sanger / Illumina 1.9	101	20297375	25	47	66.40076602081895	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
PI_640265_R2	Sanger / Illumina 1.9	101	10000207	12	46	75.79630663124084	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_640286_R2	Sanger / Illumina 1.9	101	20297375	25	48	66.59547978420706	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_643283_R1	Sanger / Illumina 1.9	101	17218968	21	47	22.313318258905802	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_643283_R2	Sanger / Illumina 1.9	101	17218968	21	47	24.536298929897196	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
